Predicted: 343.328686979959, Target: 305.0
Predicted: 528.5975787175512, Target: 325.0
Predicted: 349.9677063365806, Target: 285.0
Predicted: 316.87577785272344, Target: 300.0
Predicted: 286.95772356074553, Target: 215.0
Predicted: 456.8312033494318, Target: 328.0
Predicted: 470.4426954806412, Target: 330.0
Predicted: 196.97612907268092, Target: 260.0
Predicted: 364.42468498168773, Target: 265.0
Predicted: 753.6324945331924, Target: 480.0
Predicted: 262.66273720101026, Target: 240.0
Predicted: 468.4721742437779, Target: 490.0
Predicted: 525.5905219606915, Target: 330.0
Predicted: 572.9354265079762, Target: 680.0
Predicted: 457.01251258501156, Target: 360.0
Predicted: 1104.5407906247221, Target: 1560.0
Predicted: 706.0788743067392, Target: 635.0
Predicted: 893.9732829607487, Target: 900.0
Predicted: 115.03702911049851, Target: 285.0
Predicted: 928.4629577015262, Target: 935.0
Predicted: 298.6455588968165, Target: 160.0
Predicted: 1027.728180881511, Target: 968.0
Predicted: 398.6261228591536, Target: 250.0
Predicted: 801.9556853787449, Target: 580.0
Predicted: 305.5883715979928, Target: 188.0
Predicted: 713.2969755926601, Target: 500.0
Predicted: 631.1740629166937, Target: 450.0
Predicted: 1502.8083848278623, Target: 2400.0
Predicted: 617.0402269776507, Target: 730.0
Predicted: 135.5028419839582, Target: 210.0
Predicted: 274.70022866448016, Target: 310.0
Predicted: 144.1360290517045, Target: 230.0
Predicted: 319.4595114414817, Target: 280.0
Predicted: 322.2774814226973, Target: 253.0
Predicted: 332.8214202175326, Target: 315.0
Predicted: 572.0816290715215, Target: 820.0
Predicted: 516.2833051806606, Target: 450.0
Predicted: 176.8857601316086, Target: 188.0
Predicted: 763.534809215073, Target: 405.0
Predicted: 447.75569395037087, Target: 368.0
Predicted: 624.6391112636418, Target: 910.0
Predicted: 117.92552857609303, Target: 129.0
Predicted: 644.1945514438111, Target: 485.0
Predicted: 444.1180778540206, Target: 480.0
Predicted: 599.2949419539201, Target: 300.0
Predicted: 380.20843913481394, Target: 268.0
Predicted: 663.2591299542664, Target: 535.0
Predicted: 823.9375382989429, Target: 960.0
Predicted: 497.0179609003063, Target: 368.0
Predicted: -4.504377380948256, Target: 190.0
Predicted: 1118.6297044579937, Target: 1480.0
Predicted: 1144.2639971622912, Target: 1130.0
Predicted: 782.0433980979844, Target: 750.0
Predicted: 154.971313828868, Target: 205.0
Predicted: 231.43404946533553, Target: 240.0
Predicted: 238.7014503793804, Target: 99.0
Predicted: 775.0368502644244, Target: 650.0
Predicted: 546.1856834690359, Target: 480.0
Predicted: 332.9712958130524, Target: 445.0
Predicted: 168.1070135331712, Target: 208.0
Predicted: 113.83320251583626, Target: 213.0
Predicted: 439.64687479845315, Target: 290.0
Predicted: 299.7802822359789, Target: 270.0
Predicted: 768.5705120916873, Target: 600.0
Predicted: 463.6739394134861, Target: 380.0
Predicted: 2.5546751104681675, Target: 208.0
Predicted: 816.9165117384025, Target: 1270.0
Predicted: 1385.7435533395123, Target: 1300.0
Predicted: 602.4727881100763, Target: 435.0
Predicted: 438.68094780418085, Target: 437.0
Predicted: 475.7057658594597, Target: 346.0
Predicted: -110.32190831462543, Target: 145.0
Predicted: 743.4223732746918, Target: 780.0
Predicted: 560.7035688669723, Target: 440.0
Predicted: 483.07469728429646, Target: 350.0
Predicted: 388.26870671466725, Target: 410.0
Predicted: 210.0284930966808, Target: 283.0
Predicted: 606.2418515180751, Target: 490.0
Predicted: 177.9261495510445, Target: 160.0
Predicted: 367.8039034665851, Target: 350.0
Predicted: 146.3566137896084, Target: 165.0
Predicted: 572.2114492312184, Target: 495.0
Predicted: 301.6881588042161, Target: 215.0
Predicted: 465.7096858587105, Target: 440.0
Predicted: 425.80744243168397, Target: 230.0
Predicted: 302.5984494576677, Target: 470.0
Predicted: 723.2407810835491, Target: 515.0
Predicted: 311.3135315474317, Target: 400.0
Predicted: 250.6463910738595, Target: 258.0
Predicted: 549.0800972757611, Target: 410.0
Predicted: 760.564058354418, Target: 698.0
Predicted: 405.7586569955091, Target: 215.0
Predicted: 885.4346231010902, Target: 930.0
Predicted: 886.0395469660969, Target: 1050.0
Predicted: 630.4291154731285, Target: 438.0
Predicted: 672.1557751957711, Target: 470.0
Predicted: 609.4754984847093, Target: 620.0
Predicted: 490.649099594454, Target: 500.0
Predicted: 491.7605209142705, Target: 330.0
Predicted: 338.14859489575827, Target: 230.0
Predicted: 444.8305948741099, Target: 398.0
Predicted: 854.8874400144828, Target: 850.0
Predicted: 972.8850858301003, Target: 768.0
Predicted: 257.1460099347257, Target: 255.0
Predicted: 788.6796949262039, Target: 486.0
Predicted: 1040.197029517397, Target: 830.0
Predicted: 559.4410660607195, Target: 375.0
Predicted: 1135.9882837350203, Target: 780.0
Predicted: 506.62058776604385, Target: 490.0
Predicted: 809.4369607720214, Target: 800.0
Predicted: 629.7591783099484, Target: 650.0
Predicted: 427.24992213110045, Target: 310.0
Predicted: 804.9949012201569, Target: 700.0
Predicted: 272.97572214324214, Target: 530.0
Predicted: 896.4515405410909, Target: 560.0
Predicted: 652.5817287356431, Target: 600.0
Predicted: 9.613645396211723, Target: 230.0
Predicted: 220.4183639719372, Target: 258.0
Predicted: 488.06918041071197, Target: 570.0
Predicted: 743.2671464463513, Target: 490.0
Predicted: 939.7278352431456, Target: 350.0
Predicted: 1536.8034223672275, Target: 2660.0
Predicted: 464.1735875676751, Target: 610.0
Predicted: 511.47528628676196, Target: 477.0
Predicted: 294.4419614398066, Target: 295.0
Predicted: 880.6860602087525, Target: 490.0
Predicted: 1500.766044474964, Target: 2130.0
Predicted: 995.5550710166115, Target: 1550.0
Predicted: 286.8591337426774, Target: 220.0
Predicted: 1683.984755141439, Target: 1000.0
Predicted: 192.5185575452016, Target: 255.0
Predicted: 763.2445180428308, Target: 690.0
Predicted: 347.62842240094176, Target: 240.0
Predicted: 287.6387172783561, Target: 240.0
Predicted: 456.96410793623477, Target: 610.0
Predicted: 545.6303082056611, Target: 320.0
Predicted: 659.1798201692826, Target: 640.0
Predicted: 367.1517452624912, Target: 360.0
Predicted: 840.1473280677051, Target: 850.0
Predicted: 703.2815247117007, Target: 590.0
Predicted: 458.436861986855, Target: 315.0
Predicted: 198.65190403026486, Target: 230.0
Predicted: 579.6783671969806, Target: 540.0
Predicted: 1272.3824889978537, Target: 1320.0
Predicted: 438.4621826250599, Target: 355.0
Predicted: 92.1772845189783, Target: 185.0
Predicted: 391.73876350653984, Target: 490.0
Predicted: 735.484932298174, Target: 565.0
Predicted: 268.59808085607074, Target: 235.0
Predicted: 400.8432306730622, Target: 275.0
