Predicted: 160.33680852646438, Target: [170.]
Predicted: 874.6115167054647, Target: [1250.]
Predicted: 461.88634551577957, Target: [585.]
Predicted: 231.8677947819084, Target: [315.]
Predicted: 637.645673144945, Target: [655.]
Predicted: 1341.2557853074618, Target: [2900.]
Predicted: 403.0397755886722, Target: [510.]
Predicted: 1194.6581266999997, Target: [1250.]
Predicted: 504.9384817553946, Target: [530.]
Predicted: 150.49184883778832, Target: [198.]
Predicted: 406.64416780023123, Target: [423.]
Predicted: 488.6525158062889, Target: [310.]
Predicted: 422.98325036109054, Target: [585.]
Predicted: 308.99594435486665, Target: [290.]
Predicted: 941.8156963556071, Target: [1200.]
Predicted: 564.6888072744184, Target: [448.]
Predicted: 166.28207786525934, Target: [225.]
Predicted: 364.30811284094216, Target: [305.]
Predicted: 345.38710393351903, Target: [355.]
Predicted: 663.9887125917187, Target: [680.]
Predicted: 542.5004454229593, Target: [530.]
Predicted: 893.3108015008468, Target: [1510.]
Predicted: 523.4563936390109, Target: [360.]
Predicted: 619.2172281431885, Target: [510.]
Predicted: 398.13854225415616, Target: [330.]
Predicted: 592.5051848282703, Target: [445.]
Predicted: 132.16944869607764, Target: [195.]
Predicted: 758.7892610915918, Target: [700.]
Predicted: 581.8151266093868, Target: [400.]
Predicted: 337.3214271417376, Target: [430.]
Predicted: 640.6818701779098, Target: [485.]
Predicted: 277.78080131398275, Target: [230.]
Predicted: 242.13761510343016, Target: [230.]
Predicted: 567.5527315909117, Target: [460.]
Predicted: 354.80235626228904, Target: [275.]
Predicted: 848.5166272611885, Target: [925.]
Predicted: 189.63833478647967, Target: [209.]
Predicted: 456.08538262048114, Target: [355.]
Predicted: 637.3242312388691, Target: [575.]
Predicted: 1644.3653366306346, Target: [1900.]
Predicted: 630.8641314535008, Target: [850.]
Predicted: 493.78875367874946, Target: [650.]
Predicted: 347.57296010800894, Target: [360.]
Predicted: 523.0686812545478, Target: [598.]
Predicted: 647.8949216245541, Target: [775.]
Predicted: 191.40634578035758, Target: [162.]
Predicted: 331.53561217986504, Target: [156.]
Predicted: 450.3057605072123, Target: [293.]
Predicted: 391.96260014178193, Target: [515.]
Predicted: 275.0024429504113, Target: [245.]
Predicted: 159.75345470344428, Target: [160.]
Predicted: 296.13637111918825, Target: [210.]
Predicted: 401.2906267231581, Target: [315.]
Predicted: 206.9680651990207, Target: [280.]
Predicted: 346.9777395402897, Target: [200.]
Predicted: 507.08939853511845, Target: [508.]
Predicted: 426.5628176208015, Target: [280.]
Predicted: 239.44988578290798, Target: [209.]
Predicted: 460.8177980449816, Target: [268.]
Predicted: 311.0247709501484, Target: [200.]
Predicted: 462.9539396954315, Target: [600.]
Predicted: 401.28419364641115, Target: [270.]
Predicted: 521.3486534816165, Target: [550.]
