Predicted: 203.75480940145803, Target: [170.]
Predicted: 926.0791733539673, Target: [1250.]
Predicted: 402.4372426563503, Target: [585.]
Predicted: 259.2287586614466, Target: [315.]
Predicted: 591.3605290684608, Target: [655.]
Predicted: 1848.3244073490139, Target: [2900.]
Predicted: 344.565899369766, Target: [510.]
Predicted: 1323.3318974708789, Target: [1250.]
Predicted: 573.4384719283255, Target: [530.]
Predicted: 213.16270436585472, Target: [198.]
Predicted: 383.798771742508, Target: [423.]
Predicted: 324.3142551525731, Target: [310.]
Predicted: 411.6228732918936, Target: [585.]
Predicted: 308.04385218342287, Target: [290.]
Predicted: 1045.978216096671, Target: [1200.]
Predicted: 471.2833976914684, Target: [448.]
Predicted: 223.2311091174393, Target: [225.]
Predicted: 295.32925343987625, Target: [305.]
Predicted: 297.43888288761406, Target: [355.]
Predicted: 446.35821460655035, Target: [680.]
Predicted: 450.2910365215441, Target: [530.]
Predicted: 1131.2967753750333, Target: [1510.]
Predicted: 417.39393600167614, Target: [360.]
Predicted: 664.6883758110948, Target: [510.]
Predicted: 412.7224955544509, Target: [330.]
Predicted: 584.0712935059839, Target: [445.]
Predicted: 134.8822843189548, Target: [195.]
Predicted: 743.4017460089077, Target: [700.]
Predicted: 485.3887286292839, Target: [400.]
Predicted: 312.2971554472562, Target: [430.]
Predicted: 410.5776530667785, Target: [485.]
Predicted: 282.09975640100134, Target: [230.]
Predicted: 281.5925620503521, Target: [230.]
Predicted: 390.5033073381955, Target: [460.]
Predicted: 311.8265743706426, Target: [275.]
Predicted: 939.222968728235, Target: [925.]
Predicted: 265.7783610369036, Target: [209.]
Predicted: 390.17128070710334, Target: [355.]
Predicted: 647.6778537907592, Target: [575.]
Predicted: 2161.7332787663513, Target: [1900.]
Predicted: 638.5495282053042, Target: [850.]
Predicted: 492.09983887887773, Target: [650.]
Predicted: 308.86031154510107, Target: [360.]
Predicted: 504.7978568142492, Target: [598.]
Predicted: 588.8908841416451, Target: [775.]
Predicted: 201.97345105855942, Target: [162.]
Predicted: 274.07484816639516, Target: [156.]
Predicted: 349.3691858747267, Target: [293.]
Predicted: 356.06404575542723, Target: [515.]
Predicted: 290.8158641990355, Target: [245.]
Predicted: 212.263615284335, Target: [160.]
Predicted: 259.18899635077076, Target: [210.]
Predicted: 370.57469299140075, Target: [315.]
Predicted: 277.8145618842778, Target: [280.]
Predicted: 261.4696138255756, Target: [200.]
Predicted: 483.03308786514907, Target: [508.]
Predicted: 307.08504359914883, Target: [280.]
Predicted: 255.35090868781415, Target: [209.]
Predicted: 330.14306288695747, Target: [268.]
Predicted: 294.5942126219922, Target: [200.]
Predicted: 437.3320739563465, Target: [600.]
Predicted: 393.0902139619539, Target: [270.]
Predicted: 395.74889724945007, Target: [550.]
Predicted: 309.1244784609627, Target: [580.]
Predicted: 315.1887281385458, Target: [260.]
Predicted: 960.4600691750411, Target: [920.]
Predicted: 892.8758287412558, Target: [950.]
Predicted: 272.9139436633023, Target: [210.]
Predicted: 905.1647817255284, Target: [750.]
Predicted: 2174.434597628878, Target: [1950.]
Predicted: 241.53786376089536, Target: [265.]
Predicted: 384.29641179271385, Target: [308.]
Predicted: 413.15569272025255, Target: [360.]
Predicted: 408.1936493381512, Target: [218.]
Predicted: 361.3094587385328, Target: [312.]
Predicted: 442.8306247884608, Target: [415.]
Predicted: 631.4685876894953, Target: [365.]
Predicted: 507.5543775779308, Target: [580.]
Predicted: 666.440834151916, Target: [788.]
Predicted: 259.05492348036125, Target: [183.]
Predicted: 258.7145132214833, Target: [272.]
Predicted: 278.9349931948488, Target: [280.]
Predicted: 248.0074398748584, Target: [205.]
Predicted: 311.63519350136903, Target: [260.]
Predicted: 1003.7428795025551, Target: [920.]
Predicted: 740.148275505389, Target: [790.]
Predicted: 483.9708027006236, Target: [410.]
Predicted: 533.9791318362879, Target: [560.]
Predicted: 1268.8264901776151, Target: [1220.]
Predicted: 654.8335497422768, Target: [730.]
Predicted: 472.0765748610771, Target: [370.]
Predicted: 311.5036656589482, Target: [410.]
Predicted: 261.42186374469287, Target: [450.]
Predicted: 424.1490604065326, Target: [360.]
Predicted: 252.48843069514666, Target: [145.]
Predicted: 190.05018143659262, Target: [188.]
Predicted: 394.6524531089662, Target: [550.]
Predicted: 389.17436001984424, Target: [359.]
Predicted: 172.46697161082162, Target: [210.]
Predicted: 302.27463590588223, Target: [238.]
Predicted: 294.74061118837477, Target: [375.]
Predicted: 559.5005264137621, Target: [560.]
Predicted: 261.1586544546377, Target: [238.]
Predicted: 355.9075131288084, Target: [280.]
Predicted: 196.32550007405536, Target: [240.]
Predicted: 376.74569206325526, Target: [450.]
Predicted: 548.2771489367763, Target: [410.]
Predicted: 442.2927503881643, Target: [485.]
Predicted: 250.73221843658337, Target: [200.]
Predicted: 500.4167435524227, Target: [335.]
Predicted: 1223.5247566725461, Target: [1050.]
Predicted: 403.6108730281048, Target: [295.]
Predicted: 308.76374605254364, Target: [235.]
Predicted: 221.86319217489262, Target: [215.]
Predicted: 416.06602547005207, Target: [355.]
Predicted: 362.01604240029127, Target: [245.]
Predicted: 446.4992378889845, Target: [438.]
Predicted: 281.3277487914465, Target: [230.]
Predicted: 578.5095542478932, Target: [580.]
Predicted: 222.27200072661375, Target: [186.]
Predicted: 554.8030685047361, Target: [610.]
Predicted: 408.91354067715827, Target: [435.]
Predicted: 349.91240383729877, Target: [300.]
Predicted: 260.3095858899806, Target: [290.]
