Predicted: 954.2691028920648, Target: 900.0
Predicted: 428.833004482097, Target: 258.0
Predicted: 1087.0666650616624, Target: 515.0
Predicted: 279.7070269489008, Target: 265.0
Predicted: 1249.0101796053625, Target: 1150.0
Predicted: 339.632132966469, Target: 210.0
Predicted: 663.8406946575808, Target: 810.0
Predicted: 333.5871131180173, Target: 220.0
Predicted: 42.94897122120974, Target: 150.0
Predicted: 547.5740501934189, Target: 545.0
Predicted: 401.6434700606037, Target: 305.0
Predicted: 141.97018397443446, Target: 126.0
Predicted: 517.05454316986, Target: 205.0
Predicted: 471.171698806439, Target: 370.0
Predicted: 329.95661850247035, Target: 195.0
Predicted: 694.9543217336022, Target: 590.0
Predicted: 804.382502814461, Target: 488.0
Predicted: 554.480116752983, Target: 435.0
Predicted: 395.84322751889164, Target: 340.0
Predicted: 575.6447049574033, Target: 680.0
Predicted: 521.3565408638601, Target: 435.0
Predicted: 948.9888440302786, Target: 680.0
Predicted: 701.4020334743242, Target: 490.0
Predicted: 203.4307733404578, Target: 185.0
Predicted: 1311.331419304362, Target: 1300.0
Predicted: 524.7618800537714, Target: 475.0
Predicted: 722.9638529951241, Target: 470.0
Predicted: 507.6924892787892, Target: 300.0
Predicted: 925.8831743175768, Target: 840.0
Predicted: 430.9855590003477, Target: 280.0
Predicted: 344.75723956613734, Target: 315.0
Predicted: 1425.5924768862415, Target: 1380.0
Predicted: 798.2613939198691, Target: 710.0
Predicted: 1033.655967811469, Target: 800.0
Predicted: 591.357936090904, Target: 520.0
Predicted: 899.4941334438104, Target: 610.0
Predicted: 901.5731768101406, Target: 587.0
Predicted: 1133.3534366767649, Target: 840.0
Predicted: 382.83114385437284, Target: 258.0
Predicted: 896.7248719227938, Target: 670.0
Predicted: 335.7519290678046, Target: 270.0
Predicted: 741.9306114899774, Target: 565.0
Predicted: 676.6025767126351, Target: 535.0
Predicted: 569.7650158798743, Target: 297.0
Predicted: 674.4296205263573, Target: 590.0
Predicted: 724.4612011505944, Target: 610.0
Predicted: 635.4385001930083, Target: 568.0
Predicted: 584.0014766497011, Target: 445.0
Predicted: 560.2096525739637, Target: 170.0
Predicted: 1291.349044489106, Target: 975.0
Predicted: 934.1258228554028, Target: 1148.0
Predicted: 539.2387012470093, Target: 385.0
Predicted: 406.9232843705103, Target: 200.0
Predicted: 299.06455457140447, Target: 270.0
Predicted: 1039.3908451357706, Target: 480.0
Predicted: 1237.1784470364676, Target: 510.0
Predicted: 317.44374423254527, Target: 122.0
Predicted: 385.1666058890326, Target: 250.0
Predicted: 1330.6764683936426, Target: 1500.0
Predicted: 348.7491029937548, Target: 220.0
Predicted: 335.53689873847344, Target: 195.0
Predicted: 826.4243461315492, Target: 470.0
Predicted: 1000.003165496558, Target: 890.0
Predicted: 671.8683218467899, Target: 370.0
Predicted: 470.80993962155355, Target: 280.0
Predicted: 454.2744637533528, Target: 255.0
Predicted: 519.2804344620853, Target: 350.0
Predicted: 907.8476135552971, Target: 890.0
Predicted: 459.42753083114286, Target: 410.0
Predicted: 466.4450961892132, Target: 360.0
Predicted: 431.5531787286664, Target: 207.0
Predicted: 331.61782813444023, Target: 290.0
Predicted: 1014.4626348655933, Target: 920.0
Predicted: 686.4070629169535, Target: 585.0
Predicted: 351.52453605837746, Target: 220.0
Predicted: 299.2662921477585, Target: 280.0
Predicted: 1224.6088462485234, Target: 690.0
Predicted: 526.3556719850629, Target: 287.0
Predicted: 770.6624075669876, Target: 700.0
Predicted: 887.6397121759136, Target: 870.0
Predicted: 457.4131868065128, Target: 310.0
Predicted: 511.1533936834549, Target: 553.0
Predicted: 805.3807388603801, Target: 740.0
Predicted: 1164.6550549769709, Target: 1000.0
Predicted: 1675.2431833067026, Target: 2900.0
Predicted: 775.8640992193759, Target: 470.0
Predicted: 686.493759918909, Target: 420.0
Predicted: 1326.7135984812414, Target: 1600.0
Predicted: 1035.8858877538441, Target: 1010.0
Predicted: 373.5975245103985, Target: 300.0
Predicted: 516.7842409712846, Target: 390.0
Predicted: 519.8696422408588, Target: 385.0
Predicted: 781.8119598390595, Target: 755.0
Predicted: 423.6862992954003, Target: 340.0
Predicted: 707.4813570799339, Target: 540.0
Predicted: 388.70677657577994, Target: 258.0
