Predicted: 100.53842190822581, Target: [170.]
Predicted: 900.4112969482085, Target: [1250.]
Predicted: 457.0057993998836, Target: [585.]
Predicted: 141.3697236061244, Target: [315.]
Predicted: 657.7895716458372, Target: [655.]
Predicted: 1473.1523763586076, Target: [2900.]
Predicted: 387.4490853110228, Target: [510.]
Predicted: 1124.3269050635208, Target: [1250.]
Predicted: 605.5549791145296, Target: [530.]
Predicted: 158.35011976761172, Target: [198.]
Predicted: 457.4621263575966, Target: [423.]
Predicted: 516.284831420908, Target: [310.]
Predicted: 352.660928123983, Target: [585.]
Predicted: 255.24479506077137, Target: [290.]
Predicted: 1080.2981522060259, Target: [1200.]
Predicted: 648.3781891711164, Target: [448.]
Predicted: 203.63247224488185, Target: [225.]
Predicted: 305.92828985959727, Target: [305.]
Predicted: 372.4523103005538, Target: [355.]
Predicted: 710.9216055591323, Target: [680.]
Predicted: 546.7837687265883, Target: [530.]
Predicted: 967.5421875139732, Target: [1510.]
Predicted: 551.2465266044078, Target: [360.]
Predicted: 618.4865323214899, Target: [510.]
Predicted: 441.291703987303, Target: [330.]
Predicted: 518.567165776346, Target: [445.]
Predicted: -13.628798891339926, Target: [195.]
Predicted: 681.2271673255026, Target: [700.]
Predicted: 537.0780229328271, Target: [400.]
Predicted: 274.03622135881824, Target: [430.]
Predicted: 604.2194414240024, Target: [485.]
Predicted: 182.86033972748385, Target: [230.]
Predicted: 186.6876434794034, Target: [230.]
Predicted: 508.64732674646564, Target: [460.]
Predicted: 252.2247262591697, Target: [275.]
Predicted: 921.8146025108435, Target: [925.]
Predicted: 190.1486135773779, Target: [209.]
Predicted: 432.952596769137, Target: [355.]
Predicted: 689.0578325098631, Target: [575.]
Predicted: 1780.5352366865661, Target: [1900.]
Predicted: 650.511578490956, Target: [850.]
Predicted: 463.4564875635367, Target: [650.]
Predicted: 306.05990824434264, Target: [360.]
Predicted: 481.09739329135175, Target: [598.]
Predicted: 641.687863773868, Target: [775.]
Predicted: 128.7375935507473, Target: [162.]
Predicted: 273.6901807838839, Target: [156.]
Predicted: 437.61725632172227, Target: [293.]
Predicted: 315.227063993672, Target: [515.]
Predicted: 293.4652527270052, Target: [245.]
Predicted: 142.1164626107211, Target: [160.]
Predicted: 250.04039897464287, Target: [210.]
Predicted: 387.28590367497327, Target: [315.]
Predicted: 210.8484959247993, Target: [280.]
Predicted: 314.25373307411496, Target: [200.]
Predicted: 567.8455136220321, Target: [508.]
Predicted: 367.0924088161173, Target: [280.]
Predicted: 224.64300896254656, Target: [209.]
Predicted: 464.5758433946397, Target: [268.]
Predicted: 248.62193754137041, Target: [200.]
Predicted: 433.19070640386235, Target: [600.]
Predicted: 360.5064202918352, Target: [270.]
Predicted: 496.73980457546065, Target: [550.]
Predicted: 283.3466054312661, Target: [580.]
Predicted: 345.59190520656557, Target: [260.]
Predicted: 876.1086194267311, Target: [920.]
Predicted: 951.8922944648039, Target: [950.]
Predicted: 202.52807384637777, Target: [210.]
Predicted: 908.0594969437514, Target: [750.]
Predicted: 1510.237189057752, Target: [1950.]
Predicted: 223.11960447414532, Target: [265.]
