Predicted: 722.2578125, Target: 575.0
Predicted: 901.4765625, Target: 890.0
Predicted: 546.1015625, Target: 485.0
Predicted: 113.2421875, Target: 255.0
Predicted: 127.6640625, Target: 254.0
Predicted: 379.875, Target: 300.0
Predicted: 440.234375, Target: 248.0
Predicted: 481.9765625, Target: 590.0
Predicted: 945.0859375, Target: 1050.0
Predicted: 731.078125, Target: 600.0
Predicted: 155.0, Target: 250.0
Predicted: 942.0234375, Target: 640.0
Predicted: 548.578125, Target: 480.0
Predicted: 518.546875, Target: 166.0
Predicted: 477.046875, Target: 370.0
Predicted: 727.8125, Target: 620.0
Predicted: 360.4453125, Target: 340.0
Predicted: 1115.0859375, Target: 1400.0
Predicted: 480.6875, Target: 355.0
Predicted: 644.71875, Target: 300.0
Predicted: 467.1796875, Target: 448.0
Predicted: 1464.625, Target: 1950.0
Predicted: 576.5390625, Target: 380.0
Predicted: 983.9609375, Target: 950.0
Predicted: 53.2578125, Target: 185.0
Predicted: 229.6875, Target: 215.0
Predicted: 652.890625, Target: 525.0
Predicted: 379.0859375, Target: 420.0
Predicted: 204.953125, Target: 260.0
Predicted: 510.2265625, Target: 365.0
Predicted: 577.421875, Target: 560.0
Predicted: 404.09375, Target: 330.0
Predicted: 565.328125, Target: 550.0
Predicted: 364.015625, Target: 260.0
Predicted: 414.3046875, Target: 360.0
Predicted: 1511.171875, Target: 2134.0
Predicted: 919.484375, Target: 880.0
Predicted: 254.8515625, Target: 310.0
Predicted: 658.953125, Target: 346.0
Predicted: 388.1015625, Target: 430.0
Predicted: 318.9296875, Target: 490.0
Predicted: 149.484375, Target: 238.0
Predicted: 252.4921875, Target: 265.0
Predicted: 769.8984375, Target: 710.0
Predicted: 682.6953125, Target: 450.0
Predicted: 612.0234375, Target: 660.0
Predicted: 277.203125, Target: 335.0
Predicted: 321.71875, Target: 315.0
Predicted: -32.1796875, Target: 175.0
Predicted: 333.609375, Target: 238.0
Predicted: 212.1875, Target: 306.0
Predicted: 330.2578125, Target: 380.0
Predicted: 700.171875, Target: 610.0
Predicted: 1610.0, Target: 1830.0
Predicted: 569.0546875, Target: 730.0
Predicted: 1134.6171875, Target: 1050.0
Predicted: 793.6875, Target: 420.0
