Predicted: 198.7886957971411, Target: [170.]
Predicted: 969.3374074696127, Target: [1250.]
Predicted: 513.0249592564298, Target: [585.]
Predicted: 269.07520161290324, Target: [315.]
Predicted: 643.8640940378971, Target: [655.]
Predicted: 1942.0, Target: [2900.]
Predicted: 375.96863089694483, Target: [510.]
Predicted: 1445.0, Target: [1250.]
Predicted: 574.5657887800836, Target: [530.]
Predicted: 196.7554231128936, Target: [198.]
Predicted: 373.1748366013072, Target: [423.]
Predicted: 328.99, Target: [310.]
Predicted: 402.49783417645176, Target: [585.]
Predicted: 303.07122889046775, Target: [290.]
Predicted: 1148.0, Target: [1200.]
Predicted: 433.8, Target: [448.]
Predicted: 207.68649497927953, Target: [225.]
Predicted: 325.6716214270271, Target: [305.]
Predicted: 363.25, Target: [355.]
Predicted: 424.18558690317286, Target: [680.]
Predicted: 487.9109743565979, Target: [530.]
Predicted: 1212.2755819307472, Target: [1510.]
Predicted: 535.35, Target: [360.]
Predicted: 557.7044600136705, Target: [510.]
Predicted: 326.75, Target: [330.]
Predicted: 459.3, Target: [445.]
Predicted: 261.5458333333333, Target: [195.]
Predicted: 795.9716133004925, Target: [700.]
Predicted: 440.54786962808447, Target: [400.]
Predicted: 317.3048078529658, Target: [430.]
Predicted: 472.23479568470714, Target: [485.]
Predicted: 258.1079047625683, Target: [230.]
Predicted: 254.8682267533461, Target: [230.]
Predicted: 421.4371727748691, Target: [460.]
Predicted: 290.5922886132913, Target: [275.]
Predicted: 865.5975322927319, Target: [925.]
Predicted: 217.00051868145206, Target: [209.]
Predicted: 355.6376633046656, Target: [355.]
Predicted: 620.8506393592289, Target: [575.]
Predicted: 1729.9914285714287, Target: [1900.]
Predicted: 768.8, Target: [850.]
Predicted: 459.2117893217893, Target: [650.]
Predicted: 337.3457165290161, Target: [360.]
Predicted: 499.7638734330026, Target: [598.]
Predicted: 545.6476966141298, Target: [775.]
Predicted: 202.67167475433945, Target: [162.]
Predicted: 265.0394413919414, Target: [156.]
Predicted: 391.8243294731965, Target: [293.]
Predicted: 434.54122256081536, Target: [515.]
Predicted: 242.03939880288277, Target: [245.]
Predicted: 199.38286504314334, Target: [160.]
Predicted: 249.38026412026798, Target: [210.]
Predicted: 346.2854934642831, Target: [315.]
Predicted: 239.77141261206975, Target: [280.]
Predicted: 222.38018622598776, Target: [200.]
Predicted: 532.9547891788295, Target: [508.]
Predicted: 358.7892512077295, Target: [280.]
Predicted: 234.14460317460316, Target: [209.]
Predicted: 322.8093023382595, Target: [268.]
Predicted: 246.7913614673142, Target: [200.]
Predicted: 479.76213121213397, Target: [600.]
Predicted: 377.6038394415358, Target: [270.]
Predicted: 497.64, Target: [550.]
Predicted: 380.5494864150272, Target: [580.]
Predicted: 285.42690593326375, Target: [260.]
Predicted: 1088.4405844153673, Target: [920.]
Predicted: 983.880390446792, Target: [950.]
Predicted: 235.57931732116398, Target: [210.]
Predicted: 917.780591764689, Target: [750.]
Predicted: 1986.7666666666664, Target: [1950.]
Predicted: 250.14523809523808, Target: [265.]
Predicted: 348.5542385814668, Target: [308.]
Predicted: 388.9973825583653, Target: [360.]
Predicted: 397.48468476720365, Target: [218.]
Predicted: 310.15236529644073, Target: [312.]
Predicted: 437.8205214575851, Target: [415.]
Predicted: 652.691125857726, Target: [365.]
Predicted: 580.7375894650087, Target: [580.]
Predicted: 653.2118059656925, Target: [788.]
Predicted: 222.09820847788947, Target: [183.]
Predicted: 294.2314285714286, Target: [272.]
Predicted: 265.1444754955887, Target: [280.]
Predicted: 217.00051868145206, Target: [205.]
Predicted: 302.3708151125536, Target: [260.]
Predicted: 940.6393805465102, Target: [920.]
Predicted: 778.9312104235634, Target: [790.]
Predicted: 463.0441751920918, Target: [410.]
Predicted: 541.2876458440309, Target: [560.]
Predicted: 1158.0, Target: [1220.]
Predicted: 684.8220063430933, Target: [730.]
Predicted: 387.0, Target: [370.]
Predicted: 343.975, Target: [410.]
Predicted: 394.4499090909091, Target: [450.]
Predicted: 335.395868427043, Target: [360.]
Predicted: 341.80913873748625, Target: [145.]
Predicted: 202.58714009162372, Target: [188.]
Predicted: 394.8080717170133, Target: [550.]
Predicted: 389.2962228896705, Target: [359.]
Predicted: 213.41521380986472, Target: [210.]
Predicted: 244.33737223401877, Target: [238.]
Predicted: 307.00346564791244, Target: [375.]
Predicted: 579.8293690718158, Target: [560.]
Predicted: 233.9780071771692, Target: [238.]
Predicted: 346.744144335697, Target: [280.]
Predicted: 203.40805093877688, Target: [240.]
Predicted: 344.925, Target: [450.]
Predicted: 581.1698162177329, Target: [410.]
Predicted: 486.18611111111113, Target: [485.]
Predicted: 236.05359645742223, Target: [200.]
Predicted: 416.73999258512896, Target: [335.]
Predicted: 993.3416181125598, Target: [1050.]
Predicted: 368.1745935285345, Target: [295.]
Predicted: 297.63337046908316, Target: [235.]
Predicted: 216.94328735854316, Target: [215.]
Predicted: 396.5, Target: [355.]
Predicted: 325.0131720357117, Target: [245.]
Predicted: 367.6364002011061, Target: [438.]
Predicted: 288.7, Target: [230.]
Predicted: 593.7749393195411, Target: [580.]
Predicted: 220.33174070526744, Target: [186.]
Predicted: 580.5, Target: [610.]
Predicted: 462.78323537602694, Target: [435.]
Predicted: 325.71696129760363, Target: [300.]
Predicted: 275.4998018779799, Target: [290.]
Predicted: 207.17288162817576, Target: [165.]
Predicted: 385.4, Target: [410.]
Predicted: 151.7899877899878, Target: [138.]
Predicted: 395.1628837050249, Target: [438.]
Predicted: 222.91958214206093, Target: [208.]
Predicted: 367.019054665328, Target: [380.]
Predicted: 518.1678571428572, Target: [600.]
Predicted: 994.0, Target: [970.]
Predicted: 281.2097478846705, Target: [270.]
Predicted: 1181.0, Target: [820.]
Predicted: 256.44101577839285, Target: [260.]
Predicted: 1047.9457855908622, Target: [1410.]
Predicted: 216.87724116388267, Target: [200.]
Predicted: 775.7996190317492, Target: [830.]
Predicted: 856.5771235801634, Target: [1100.]
Predicted: 323.9781746031746, Target: [245.]
Predicted: 286.26999304887534, Target: [298.]
Predicted: 434.2172641250195, Target: [390.]
Predicted: 260.69486657510777, Target: [290.]
Predicted: 1399.4978097980227, Target: [1430.]
Predicted: 337.2415306915307, Target: [310.]
Predicted: 301.8571125750513, Target: [270.]
Predicted: 494.2, Target: [673.]
Predicted: 1089.574417928265, Target: [920.]
Predicted: 208.35943149210908, Target: [200.]
Predicted: 469.6912184940335, Target: [540.]
Predicted: 292.8, Target: [320.]
Predicted: 454.8159894321684, Target: [440.]
Predicted: 380.42640787859347, Target: [360.]
Predicted: 274.1423605792903, Target: [240.]
Predicted: 231.8679798992517, Target: [235.]
Predicted: 360.89331526316823, Target: [460.]
Predicted: 239.2116429793031, Target: [220.]
Predicted: 380.5389264125615, Target: [400.]
Predicted: 497.9663063479953, Target: [570.]
Predicted: 466.05691306759473, Target: [400.]
Predicted: 180.32075471698113, Target: [242.]
Predicted: 767.3888888888889, Target: [700.]
Predicted: 244.90952380952382, Target: [230.]
Predicted: 598.4625, Target: [750.]
Predicted: 185.16272061272062, Target: [216.]
Predicted: 340.1967897727273, Target: [335.]
Predicted: 2210.524689440994, Target: [2700.]
Predicted: 1420.4467532467531, Target: [1420.]
Predicted: 323.175, Target: [425.]
Predicted: 332.9799162340889, Target: [275.]
Predicted: 777.1663010231803, Target: [800.]
Predicted: 616.1402543866732, Target: [515.]
Predicted: 265.1444754955887, Target: [325.]
Predicted: 403.7096762391322, Target: [555.]
Predicted: 300.17428686219364, Target: [265.]
Predicted: 525.6122404601572, Target: [630.]
Predicted: 314.43484625642657, Target: [340.]
Predicted: 261.2222149414632, Target: [225.]
Predicted: 449.0141304347826, Target: [340.]
Predicted: 392.5077870726308, Target: [385.]
Predicted: 324.10001325641144, Target: [300.]
Predicted: 283.87546575081575, Target: [205.]
Predicted: 281.46491228070175, Target: [245.]
Predicted: 309.6914102564102, Target: [325.]
Predicted: 365.5217881594845, Target: [398.]
Predicted: 943.0, Target: [860.]
Predicted: 1468.8249052461983, Target: [2080.]
Predicted: 433.284927767466, Target: [479.]
Predicted: 299.65178281339666, Target: [228.]
Predicted: 173.32744137164087, Target: [180.]
Predicted: 485.34851249627565, Target: [430.]
Predicted: 786.924156592633, Target: [630.]
Predicted: 760.3662856984158, Target: [658.]
Predicted: 438.58728070175437, Target: [395.]
Predicted: 242.3571050947261, Target: [385.]
Predicted: 528.2, Target: [388.]
Predicted: 488.3555449980371, Target: [360.]
Predicted: 331.4941393219297, Target: [300.]
Predicted: 1331.0516117389286, Target: [1650.]
Predicted: 631.547270245634, Target: [612.]
Predicted: 418.8124311951372, Target: [370.]
Predicted: 1192.0, Target: [1230.]
Predicted: 503.5142857142857, Target: [460.]
Predicted: 874.8970443247781, Target: [955.]
Predicted: 378.8347258134023, Target: [355.]
Predicted: 393.02261904761906, Target: [360.]
Predicted: 1636.25, Target: [580.]
Predicted: 342.40852831561364, Target: [300.]
Predicted: 1666.4955709359383, Target: [2160.]
Predicted: 1037.0, Target: [1080.]
Predicted: 267.6811470535117, Target: [315.]
Predicted: 200.62140692640693, Target: [195.]
Predicted: 992.2777367099674, Target: [1000.]
Predicted: 1204.4881576972848, Target: [1300.]
Predicted: 173.1267487309482, Target: [176.]
Predicted: 399.0, Target: [385.]
Predicted: 752.9580508576744, Target: [810.]
Predicted: 448.88, Target: [440.]
Predicted: 782.3377142698444, Target: [868.]
Predicted: 228.09692076053926, Target: [205.]
Predicted: 236.74065009621773, Target: [250.]
Predicted: 523.1704859702182, Target: [565.]
Predicted: 729.4723766215953, Target: [790.]
Predicted: 549.7955357142857, Target: [460.]
Predicted: 374.35184494758704, Target: [490.]
Predicted: 376.85151238204253, Target: [430.]
Predicted: 364.9678664200227, Target: [330.]
Predicted: 1089.006682633359, Target: [1200.]
Predicted: 489.7277402296137, Target: [330.]
Predicted: 368.6, Target: [280.]
Predicted: 314.9081676162774, Target: [320.]
Predicted: 443.67824879227055, Target: [508.]
Predicted: 160.2, Target: [172.]
Predicted: 518.174377230514, Target: [650.]
Predicted: 435.98823529411766, Target: [375.]
Predicted: 378.72705541666863, Target: [430.]
Predicted: 400.80008241191206, Target: [480.]
Predicted: 733.6674162940562, Target: [740.]
Predicted: 319.21660336540066, Target: [295.]
Predicted: 247.79994690148789, Target: [308.]
Predicted: 561.1, Target: [520.]
Predicted: 1243.1527291258562, Target: [1300.]
Predicted: 262.36904520917676, Target: [225.]
Predicted: 412.1443877917588, Target: [455.]
Predicted: 512.6, Target: [490.]
Predicted: 750.9960226281182, Target: [550.]
Predicted: 375.10749999999996, Target: [420.]
Predicted: 339.54014138035876, Target: [330.]
Predicted: 674.5411316987063, Target: [690.]
Predicted: 221.52273816289804, Target: [185.]
Predicted: 301.5841118647039, Target: [265.]
Predicted: 177.02457923150206, Target: [168.]
Predicted: 265.1444754955887, Target: [279.]
Predicted: 185.28875489874756, Target: [205.]
Predicted: 244.23592917838263, Target: [253.]
Predicted: 233.8, Target: [220.]
Predicted: 1396.0, Target: [1450.]
Predicted: 423.1733714483715, Target: [400.]
Predicted: 553.5666666666667, Target: [560.]
Predicted: 563.7813597718098, Target: [620.]
Predicted: 508.5136069812541, Target: [410.]
Predicted: 241.66165528324626, Target: [245.]
Predicted: 557.832496052216, Target: [680.]
Predicted: 639.7661888121406, Target: [780.]
Predicted: 184.76205128205126, Target: [195.]
Predicted: 571.0625, Target: [620.]
Predicted: 464.79973069679846, Target: [445.]
Predicted: 187.44305894308943, Target: [170.]
Predicted: 1323.5229314740857, Target: [1200.]
Predicted: 519.1754527842595, Target: [485.]
Predicted: 366.31288323273753, Target: [360.]
Predicted: 273.29105877284746, Target: [359.]
Predicted: 187.625, Target: [160.]
